Date,ABBV,BIIB,DHR,JNJ,LLY,MRK,NVS,PFE,UNH
2020-12-04,98.53097534179688,245.8699951171875,222.9252471923828,142.82354736328125,144.26202392578125,73.00520324707031,84.54571533203125,37.599937438964844,341.7259216308594
2020-12-07,97.20841217041016,243.67999267578125,224.6337127685547,141.58795166015625,143.26109313964844,73.51304626464844,84.43498229980469,38.4481201171875,339.7432556152344
2020-12-08,98.90753936767578,246.42999267578125,222.00149536132812,144.04013061523438,145.08807373046875,74.10999298095703,84.16737365722656,39.66914367675781,339.7432556152344
2020-12-09,99.8076171875,244.75,221.34593200683594,145.5133056640625,153.5426025390625,74.3683853149414,84.53649139404297,39.00736999511719,336.3737487792969
2020-12-10,98.72384643554688,242.97999572753906,221.7134552001953,144.70541381835938,156.45797729492188,73.94071197509766,84.60108184814453,38.8955192565918,331.72479248046875
2020-12-11,97.6676254272461,241.42999267578125,222.24984741210938,145.37071228027344,155.52505493164062,73.91397857666016,85.468505859375,38.326961517333984,329.2050476074219
2020-12-14,95.70215606689453,245.25,219.6175994873047,141.68301391601562,153.45513916015625,72.1269760131836,83.55833435058594,36.54669189453125,328.2869567871094
2020-12-15,94.4346923828125,248.72999572753906,221.6737060546875,143.1086883544922,162.70655822753906,72.2706527709961,83.02311706542969,36.080650329589844,331.7443542480469
2020-12-16,96.10627746582031,248.19000244140625,220.41220092773438,142.2532501220703,167.1962127685547,71.68695831298828,83.9458999633789,35.26974105834961,331.42205810546875
2020-12-17,96.33589172363281,250.24000549316406,222.98486328125,146.0075225830078,167.75987243652344,71.677978515625,84.87792205810547,35.446842193603516,333.69769287109375
2020-12-18,95.93177032470703,249.6199951171875,224.59400939941406,146.85340881347656,166.56455993652344,71.41754913330078,83.89054107666016,35.1206169128418,330.4844055175781
2020-12-21,95.25212860107422,248.32000732421875,224.64369201660156,145.43727111816406,164.01849365234375,71.20204162597656,81.62971496582031,34.84099578857422,328.2381286621094
