Date,BAC,C,GS,JPM,MA,MS,SCHW,V,WFC
2012-12-21,9.649439811706543,32.74744415283203,120.80058288574219,33.33852005004883,46.52508544921875,15.241575241088867,12.81403636932373,35.15203857421875,25.88043212890625
2012-12-24,9.615251541137695,32.65622329711914,119.95409393310547,33.27790832519531,46.661766052246094,15.265745162963867,12.82298469543457,35.24762725830078,25.83540153503418
2012-12-26,9.863107681274414,32.797183990478516,119.59671783447266,33.3082275390625,45.83036422729492,15.20934772491455,12.76034927368164,34.91655349731445,25.767852783203125
2012-12-27,9.803279876708984,32.54841232299805,119.13585662841797,33.05818176269531,45.9877815246582,15.12073802947998,12.715606689453125,34.83262634277344,25.655263900756836
2012-12-28,9.70926570892334,32.34939193725586,118.05424499511719,32.762699127197266,45.53627014160156,14.999894142150879,12.652965545654297,34.65776443481445,25.45260238647461
2012-12-31,9.92293643951416,32.80549240112305,119.97290802001953,33.315799713134766,46.30921936035156,15.402692794799805,12.849830627441406,35.34089279174805,25.655263900756836
2013-01-02,10.281905174255371,34.20693588256836,123.82905578613281,34.071075439453125,48.09925842285156,15.805484771728516,13.494112014770508,36.226871490478516,26.308271408081055
2013-01-03,10.222078323364258,34.323020935058594,123.15188598632812,34.002410888671875,48.16808319091797,15.773258209228516,13.476215362548828,36.25484085083008,26.090599060058594
2013-01-04,10.35028076171875,35.185462951660156,126.5095443725586,34.60511779785156,48.16618347167969,16.26466178894043,13.834149360656738,36.55093765258789,26.225706100463867
2013-01-07,10.333189010620117,35.2186279296875,126.2743911743164,34.64325714111328,49.00089645385742,15.950481414794922,13.664125442504883,36.81206512451172,26.098114013671875
2013-01-08,10.239171981811523,35.21034622192383,125.1363754272461,34.711910247802734,48.839622497558594,15.829645156860352,13.61938762664795,37.154808044433594,26.05307960510254
2013-01-09,9.769096374511719,34.86205291748047,126.33084106445312,34.689022064208984,50.21382522583008,15.805484771728516,13.53885269165039,37.72135543823242,26.05307960510254
2013-01-10,10.068233489990234,35.51716613769531,129.19943237304688,35.207801818847656,49.76676940917969,16.385496139526367,13.71782112121582,37.42292022705078,26.570987701416016
2013-01-11,9.940031051635742,35.11083221435547,128.9737091064453,35.20016098022461,49.8639030456543,16.24854278564453,13.77151107788086,37.57447052001953,26.345802307128906
2013-01-14,9.803279876708984,35.01132583618164,128.03318786621094,35.00181198120117,49.37629318237305,16.167984008789062,13.664125442504883,37.45555877685547,26.098114013671875
2013-01-15,9.871655464172363,35.30155563354492,127.52529907226562,35.360382080078125,49.3093147277832,16.457998275756836,13.682024955749512,37.408931732177734,26.353315353393555
2013-01-16,10.068233489990234,35.226932525634766,132.6981658935547,35.71894073486328,49.16690444946289,16.546611785888672,13.467267036437988,37.350643157958984,26.338293075561523
2013-01-17,9.640891075134277,34.198638916015625,132.62294006347656,35.42902755737305,49.3611946105957,16.715789794921875,13.646232604980469,37.27604675292969,26.29326057434082
2013-01-18,9.52123737335205,34.546932220458984,135.85833740234375,35.44429397583008,49.139556884765625,18.028881072998047,13.825196266174316,36.90066909790039,26.218198776245117
2013-01-22,9.70071792602539,34.64643478393555,137.2690887451172,35.505313873291016,49.0225944519043,18.512229919433594,14.057855606079102,37.08252716064453,26.300769805908203
2013-01-23,9.760544776916504,34.845462799072266,136.90234375,35.268829345703125,48.81509780883789,18.262496948242188,13.995217323303223,37.08252716064453,26.233224868774414
2013-01-24,9.854557991027832,35.492286682128906,136.33798217773438,35.375633239746094,49.25839614868164,18.20610237121582,14.147339820861816,37.20142364501953,26.390838623046875
2013-01-25,9.931482315063477,35.5835075378418,135.8677215576172,35.97832489013672,48.99052429199219,18.286670684814453,14.362100601196289,37.26670837402344,26.375829696655273
2013-01-28,9.811826705932617,35.11083221435547,135.57615661621094,35.58160400390625,48.49064636230469,17.97248649597168,14.406842231750488,36.45301055908203,26.353315353393555
2013-01-29,9.82037353515625,34.9615592956543,138.35072326660156,35.947811126708984,48.90186309814453,18.19805145263672,14.737931251525879,36.52530288696289,26.4733943939209
