Date,COST,KO,PEP,PG,PM,UL,WMT
2021-12-02,522.0173950195312,51.91059112548828,157.41041564941406,143.69276428222656,83.2542495727539,49.54622268676758,133.33937072753906
2021-12-03,525.4146728515625,52.370323181152344,161.41868591308594,146.24929809570312,84.7138442993164,49.4017448425293,135.34727478027344
2021-12-06,529.6563110351562,53.71038818359375,163.09451293945312,148.46429443359375,86.6189193725586,50.68278121948242,136.81387329101562
2021-12-07,538.4176635742188,54.00383377075195,162.90830993652344,148.07400512695312,85.69007873535156,50.4227180480957,136.37094116210938
2021-12-08,526.5868530273438,53.79842758178711,163.1925048828125,148.73753356933594,85.19722747802734,51.0295295715332,134.99295043945312
2021-12-09,520.84521484375,53.66147994995117,162.98670959472656,149.60597229003906,84.82759094238281,50.95248031616211,136.87060546875
2021-12-10,555.1060180664062,55.05046081542969,165.59356689453125,151.69415283203125,85.33940124511719,51.289588928222656,139.37083435058594
2021-12-13,553.5166625976562,56.49812698364258,166.41677856445312,153.8505859375,86.8843002319336,51.13547897338867,141.88096618652344
2021-12-14,541.7156372070312,56.537254333496094,166.0051727294922,154.4165496826172,87.12125396728516,51.07768630981445,143.23483276367188
2021-12-15,561.7217407226562,56.79157638549805,168.1416015625,155.01177978515625,87.88896179199219,50.75983810424805,144.05508422851562
2021-12-16,548.9571533203125,57.368682861328125,168.38662719726562,157.20729064941406,89.45281982421875,51.337745666503906,141.65365600585938
2021-12-17,543.9705200195312,56.46878433227539,164.93695068359375,153.6457061767578,88.57137298583984,50.75983810424805,137.11766052246094
2021-12-20,544.9141845703125,56.28293228149414,166.03457641601562,154.0360107421875,88.01217651367188,50.596092224121094,137.56236267089844
2021-12-21,541.8050537109375,56.507911682128906,165.5445556640625,153.93841552734375,88.18277740478516,50.364933013916016,137.9774169921875
2021-12-22,546.0167846679688,56.90895462036133,166.57357788085938,155.4606475830078,89.25877380371094,50.52867126464844,138.1553192138672
2021-12-23,546.7122192382812,56.94807815551758,166.3873748779297,156.22174072265625,89.2779769897461,50.87541961669922,137.8489532470703
2021-12-27,559.72509765625,57.368682861328125,168.04360961914062,158.04644775390625,89.86399841308594,51.289588928222656,139.10401916503906
2021-12-28,560.8873901367188,57.59366226196289,168.9158172607422,158.89535522460938,90.17143249511719,51.55927658081055,141.10025024414062
2021-12-29,563.99658203125,57.66212844848633,169.51364135742188,160.21266174316406,90.59414672851562,51.64596176147461,141.0310821533203
2021-12-30,560.1621704101562,57.49584197998047,169.21961975097656,158.82705688476562,90.55571746826172,51.60744094848633,141.48565673828125
2021-12-31,563.927001953125,57.91645050048828,170.2388458251953,159.61744689941406,91.26663208007812,51.80971145629883,142.98777770996094
2022-01-03,562.9436645507812,58.00448226928711,169.52342224121094,158.9539031982422,91.96794128417969,52.069766998291016,142.9482421875
2022-01-04,560.4800415039062,58.97285461425781,169.7684326171875,159.51010131835938,92.55396270751953,51.819339752197266,140.3294219970703
2022-01-05,546.2651977539062,59.46193313598633,170.34664916992188,160.23216247558594,92.17929077148438,51.7230224609375,142.22683715820312
2022-01-06,546.1459350585938,59.14892578125,170.38583374023438,158.8856201171875,93.58192443847656,51.2125358581543,141.83155822753906
2022-01-07,532.6165161132812,59.01198196411133,170.60145568847656,158.79779052734375,95.24392700195312,51.819339752197266,143.1854248046875
2022-01-10,515.3519897460938,59.10979461669922,170.6896514892578,156.6315460205078,96.33912658691406,52.2335090637207,142.90872192382812
2022-01-11,518.560546875,59.12936019897461,170.6112518310547,154.81661987304688,97.02122497558594,51.96382141113281,142.5035400390625
2022-01-12,522.305419921875,59.21739196777344,170.42503356933594,155.15814208984375,97.45355224609375,51.626705169677734,141.7524871826172
2022-01-13,513.4447631835938,59.56953048706055,170.69943237304688,154.45556640625,98.08760833740234,51.70375442504883,143.75860595703125
2022-01-14,499.6470642089844,60.04882049560547,172.13027954101562,155.93875122070312,99.31730651855469,52.29130172729492,143.35342407226562
2022-01-18,484.8262023925781,59.56953048706055,170.48387145996094,152.93336486816406,97.73214721679688,44.739933013916016,140.8433074951172
2022-01-19,486.9023132324219,59.66734313964844,171.70887756347656,158.07569885253906,97.50157928466797,48.19776916503906,142.24661254882812
2022-01-20,479.6111145019531,59.42280578613281,170.46424865722656,158.92921447753906,98.01074981689453,47.58132553100586,139.55860900878906
2022-01-21,478.4091796875,59.12936019897461,170.7386474609375,159.5374755859375,98.87538146972656,47.4946403503418,138.5407257080078
2022-01-24,485.65069580078125,58.65006637573242,169.86643981933594,158.24249267578125,96.6273422241211,51.568912506103516,138.55059814453125
2022-01-25,474.1476745605469,58.51312255859375,167.91619873046875,156.51585388183594,98.12603759765625,50.77909851074219,135.53646850585938
2022-01-26,480.2568054199219,58.29793167114258,166.1423797607422,155.15219116210938,97.3958969116211,49.4210090637207,134.1529541015625
2022-01-27,479.3131103515625,58.346839904785156,165.98556518554688,156.11363220214844,98.2317123413086,49.315059661865234,134.2418975830078
2022-01-28,489.1572570800781,59.510841369628906,169.21961975097656,157.45767211914062,99.4518051147461,49.411376953125,135.9021453857422
2022-01-31,501.7728271484375,59.6771240234375,170.05264282226562,157.4086151123047,98.80813598632812,49.49806594848633,138.16519165039062
2022-02-01,505.03106689453125,59.23695755004883,168.89620971679688,156.7120819091797,99.19242095947266,49.24763870239258,139.25225830078125
2022-02-02,518.5506591796875,59.84341049194336,171.9636688232422,159.51785278320312,99.81687927246094,49.315059661865234,139.19296264648438
2022-02-03,519.0878295898438,60.26401901245117,171.8656768798828,161.02867126464844,99.73040771484375,49.87370681762695,139.33131408691406
2022-02-04,517.09814453125,59.62821578979492,169.04322814941406,158.46812438964844,99.51905059814453,49.50769805908203,137.69085693359375
2022-02-07,513.2380981445312,60.254234313964844,168.37680053710938,157.28106689453125,99.50945281982422,50.32640075683594,136.33697509765625
